LSOA code,local authority name,local authority code,All households,One person Aged 66+,One person Aged up to 65,Family: all aged 66+,Married or civil partnership couple: No children,Married or civil partnership couple: Dependent children,Married or civil partnership couple: non-dependent children,Cohabiting couple: No children,Cohabiting couple: Dependent children,Cohabiting couple: Non-dependent children,Lone parent: dependent children,Lone parent: non-dependent children,Other with dependent children,All other types,
E01001224,Ealing,E09000009,576,51,61,55,58,128,68,34,22,2,17,19,11,50,
E01001225,Ealing,E09000009,849,108,219,32,67,107,35,65,9,1,68,30,16,92,
E01001226,Ealing,E09000009,668,76,159,35,74,109,20,57,11,2,29,16,19,61,
E01001227,Ealing,E09000009,604,51,78,45,66,125,45,55,12,2,26,25,20,54,
E01001228,Ealing,E09000009,831,82,178,29,81,109,34,81,13,1,38,21,9,155,
E01001229,Ealing,E09000009,585,55,98,23,34,77,35,26,20,9,64,59,25,60,
E01001230,Ealing,E09000009,612,55,142,35,72,78,35,63,11,3,21,20,13,64,
E01001231,Ealing,E09000009,788,65,132,77,55,110,41,45,13,5,37,23,26,159,
E01001232,Ealing,E09000009,621,81,95,40,48,104,35,31,14,3,32,51,20,67,
E01001233,Ealing,E09000009,619,90,125,27,52,88,25,36,13,3,25,42,19,74,
E01001234,Ealing,E09000009,604,48,154,19,61,65,12,68,14,3,29,18,15,98,
E01001235,Ealing,E09000009,787,45,220,17,71,99,17,103,10,1,35,26,16,127,
E01001236,Ealing,E09000009,693,79,165,28,76,82,24,66,14,2,29,32,15,81,
E01001237,Ealing,E09000009,671,58,155,40,60,89,33,95,16,0,24,21,10,70,
E01001239,Ealing,E09000009,560,32,135,13,31,75,26,26,8,2,54,57,28,73,
E01001240,Ealing,E09000009,659,43,152,23,29,59,44,49,9,2,23,57,39,130,
E01001241,Ealing,E09000009,654,49,140,23,34,75,41,35,11,2,43,33,34,134,
E01001242,Ealing,E09000009,613,60,105,26,42,96,25,35,14,0,86,42,22,60,
E01001243,Ealing,E09000009,964,83,232,15,72,150,39,72,18,7,73,42,28,133,
E01001244,Ealing,E09000009,1167,87,301,25,73,142,38,103,57,1,103,105,36,96,
E01001245,Ealing,E09000009,921,52,229,18,60,149,34,80,42,1,78,39,26,113,
E01001246,Ealing,E09000009,817,33,347,16,40,73,44,32,19,10,52,40,30,81,
E01001247,Ealing,E09000009,815,73,137,71,45,111,42,26,14,3,71,60,42,120,
E01001248,Ealing,E09000009,566,61,69,45,43,103,50,17,13,3,38,45,28,51,
E01001249,Ealing,E09000009,1087,89,298,13,70,135,35,99,26,3,123,56,21,119,
E01001250,Ealing,E09000009,974,90,265,18,70,112,20,83,27,2,109,74,20,84,
E01001251,Ealing,E09000009,739,63,138,21,68,140,35,51,41,3,64,41,16,58,
E01001252,Ealing,E09000009,961,72,185,21,63,158,32,54,41,1,92,40,60,142,
E01001253,Ealing,E09000009,774,46,103,32,68,176,36,61,41,5,75,37,23,71,
E01001254,Ealing,E09000009,744,111,135,25,60,131,33,49,35,7,62,23,26,47,
E01001255,Ealing,E09000009,588,54,80,32,47,155,42,31,23,0,28,33,24,39,
E01001257,Ealing,E09000009,804,48,173,18,51,165,57,23,20,3,124,47,36,39,
E01001258,Ealing,E09000009,651,81,81,31,36,127,61,8,26,2,57,41,57,43,
E01001259,Ealing,E09000009,523,56,56,28,37,93,45,14,11,1,32,38,57,55,
E01001260,Ealing,E09000009,685,71,90,32,37,135,56,17,15,3,35,46,64,84,
E01001261,Ealing,E09000009,867,69,174,28,42,141,63,30,25,3,56,67,74,95,
E01001262,Ealing,E09000009,545,67,82,17,26,91,42,8,18,4,48,48,46,48,
E01001263,Ealing,E09000009,734,66,161,30,40,133,39,25,26,7,86,34,41,46,
E01001264,Ealing,E09000009,629,51,61,46,33,108,63,21,23,5,73,59,36,50,
E01001265,Ealing,E09000009,633,46,121,17,50,119,39,22,13,4,46,36,48,72,
E01001266,Ealing,E09000009,599,52,49,47,39,98,66,18,11,5,32,43,56,83,
E01001267,Ealing,E09000009,820,134,163,45,39,131,38,20,25,2,64,50,50,59,
E01001268,Ealing,E09000009,635,67,69,50,40,146,51,13,23,6,25,37,55,53,
E01001269,Ealing,E09000009,788,53,125,30,53,165,72,33,39,0,49,43,56,70,
E01001270,Ealing,E09000009,589,42,61,24,47,130,63,15,16,7,31,42,58,53,
E01001271,Ealing,E09000009,626,40,84,22,34,132,63,15,20,7,52,42,59,56,
E01001272,Ealing,E09000009,597,43,112,20,37,111,46,15,11,2,23,48,56,73,
E01001273,Ealing,E09000009,587,67,45,46,61,169,49,27,7,2,19,13,20,62,
E01001274,Ealing,E09000009,587,74,88,28,36,184,23,21,14,1,19,24,20,55,
E01001275,Ealing,E09000009,907,104,287,35,101,103,12,96,11,2,37,25,16,78,
E01001276,Ealing,E09000009,693,70,170,29,45,86,45,29,13,2,35,41,46,82,
E01001277,Ealing,E09000009,715,54,107,39,48,163,40,18,22,4,52,26,29,113,
E01001278,Ealing,E09000009,801,79,149,34,47,147,37,29,24,0,79,29,30,117,
E01001279,Ealing,E09000009,551,83,37,73,48,148,47,12,12,2,16,18,21,34,
E01001280,Ealing,E09000009,777,108,149,30,68,168,31,50,12,3,43,29,21,65,
E01001281,Ealing,E09000009,623,93,69,38,54,151,28,43,16,0,37,30,11,53,
E01001282,Ealing,E09000009,619,101,83,28,25,113,37,20,19,4,45,50,65,29,
E01001283,Ealing,E09000009,772,139,149,36,32,118,40,24,17,6,76,72,23,40,
E01001284,Ealing,E09000009,583,53,57,41,31,124,55,9,20,4,64,48,36,41,
E01001285,Ealing,E09000009,583,42,78,17,32,128,38,23,34,6,49,51,28,57,
E01001286,Ealing,E09000009,610,69,68,22,42,133,47,22,22,6,76,51,22,30,
E01001287,Ealing,E09000009,507,43,56,18,19,121,45,10,19,3,63,56,22,32,
E01001288,Ealing,E09000009,531,35,82,28,43,119,33,21,23,2,40,36,25,44,
E01001289,Ealing,E09000009,476,34,59,20,36,114,42,23,21,2,36,30,18,41,
E01001290,Ealing,E09000009,791,56,122,44,69,163,58,70,22,1,63,32,29,62,
E01001291,Ealing,E09000009,507,32,42,27,37,108,61,5,8,6,23,43,72,43,
E01001292,Ealing,E09000009,513,43,31,41,36,79,74,2,12,2,21,46,60,66,
E01001293,Ealing,E09000009,576,40,92,29,24,120,66,13,7,1,31,39,64,50,
E01001294,Ealing,E09000009,571,31,30,26,47,109,76,5,11,4,27,43,92,70,
E01001295,Ealing,E09000009,527,41,30,28,33,113,80,6,6,4,27,27,76,56,
E01001296,Ealing,E09000009,414,23,34,19,21,81,71,4,7,3,18,30,53,50,
E01001297,Ealing,E09000009,515,46,41,17,14,121,80,0,6,3,22,42,70,53,
E01001298,Ealing,E09000009,585,60,48,24,38,97,71,3,5,4,24,44,112,55,
E01001299,Ealing,E09000009,643,73,66,61,59,149,67,16,23,4,28,31,25,41,
E01001300,Ealing,E09000009,601,59,70,31,63,169,33,36,25,0,21,25,15,54,
E01001301,Ealing,E09000009,816,83,161,18,71,113,19,81,28,2,59,28,19,134,
E01001302,Ealing,E09000009,611,61,65,23,77,148,35,50,14,3,32,23,19,61,
E01001303,Ealing,E09000009,657,61,83,34,59,164,49,49,14,2,43,24,10,65,
E01001304,Ealing,E09000009,696,76,131,17,54,145,17,65,24,3,61,25,12,66,
E01001305,Ealing,E09000009,631,61,62,52,54,179,44,39,19,3,24,30,16,48,
E01001306,Ealing,E09000009,707,98,131,29,53,170,31,56,23,4,34,23,19,36,
E01001307,Ealing,E09000009,614,54,59,36,40,125,65,21,20,3,25,36,54,76,
E01001308,Ealing,E09000009,691,72,83,60,69,99,69,25,8,2,17,33,76,78,
E01001309,Ealing,E09000009,600,51,53,29,39,145,65,23,13,1,32,40,58,51,
E01001310,Ealing,E09000009,757,64,91,28,53,133,56,27,22,6,54,47,60,116,
E01001311,Ealing,E09000009,959,57,258,19,74,137,53,44,16,8,68,63,88,74,
E01001312,Ealing,E09000009,607,42,52,43,34,128,57,17,17,2,22,40,64,89,
E01001313,Ealing,E09000009,523,44,35,35,29,86,59,9,7,4,29,38,78,70,
E01001314,Ealing,E09000009,508,47,49,32,26,98,57,17,12,0,31,33,47,59,
E01001315,Ealing,E09000009,497,43,62,27,36,102,43,11,11,8,29,35,54,36,
E01001316,Ealing,E09000009,612,42,87,15,53,106,41,14,14,4,95,54,39,48,
E01001317,Ealing,E09000009,719,60,88,28,44,147,42,11,35,5,71,60,60,68,
E01001318,Ealing,E09000009,724,98,95,22,54,117,42,23,17,10,85,66,51,44,
E01001319,Ealing,E09000009,510,44,51,27,37,99,56,14,9,10,21,25,56,61,
E01001320,Ealing,E09000009,546,39,86,16,29,99,31,6,18,2,91,62,38,29,
E01001321,Ealing,E09000009,802,85,80,46,54,124,65,12,20,12,115,64,76,49,
E01001322,Ealing,E09000009,734,58,110,36,65,121,60,19,21,8,77,39,55,65,
E01001323,Ealing,E09000009,772,67,144,31,51,145,51,30,14,7,94,33,50,55,
E01001324,Ealing,E09000009,646,45,139,13,51,119,37,28,12,1,77,38,36,50,
E01001325,Ealing,E09000009,616,62,53,26,31,137,64,12,16,7,56,47,64,41,
E01001326,Ealing,E09000009,681,65,87,19,29,115,46,18,18,5,110,50,47,72,
E01001327,Ealing,E09000009,590,50,74,20,34,122,56,16,13,3,46,40,57,59,
E01001328,Ealing,E09000009,595,59,68,23,24,118,51,8,15,4,67,58,60,40,
E01001329,Ealing,E09000009,645,47,68,29,39,137,51,10,20,10,82,51,43,58,
E01001330,Ealing,E09000009,643,48,119,11,35,125,37,15,19,4,95,49,52,34,
E01001331,Ealing,E09000009,639,35,115,7,36,125,32,18,17,3,117,63,36,35,
E01001332,Ealing,E09000009,581,42,98,11,28,116,42,14,14,1,93,46,32,44,
E01001333,Ealing,E09000009,713,45,112,23,38,135,49,17,12,0,70,33,113,66,
E01001334,Ealing,E09000009,523,69,66,16,29,98,39,4,10,2,51,51,59,29,
E01001335,Ealing,E09000009,513,48,47,37,34,87,72,4,5,2,19,25,73,60,
E01001336,Ealing,E09000009,564,40,73,32,35,80,66,11,11,3,33,44,74,62,
E01001337,Ealing,E09000009,767,33,178,20,56,119,46,46,27,3,64,56,48,71,
E01001338,Ealing,E09000009,539,40,73,30,26,90,42,15,11,1,22,46,93,50,
E01001339,Ealing,E09000009,702,24,98,18,40,144,67,23,14,5,80,77,66,46,
E01001340,Ealing,E09000009,547,21,145,3,40,112,28,27,6,3,57,41,25,39,
E01001341,Ealing,E09000009,582,37,73,29,31,123,64,29,18,2,33,25,48,70,
E01001342,Ealing,E09000009,637,40,85,26,61,128,53,23,13,4,28,38,54,84,
E01001343,Ealing,E09000009,476,42,49,40,38,74,49,11,13,4,15,32,47,62,
E01001344,Ealing,E09000009,898,85,202,37,70,159,59,36,23,11,53,40,51,72,
E01001345,Ealing,E09000009,528,35,48,21,34,102,75,12,7,5,29,47,54,59,
E01001346,Ealing,E09000009,678,61,98,46,41,160,62,23,14,4,35,43,37,54,
E01001347,Ealing,E09000009,684,42,121,32,35,117,70,24,13,1,30,46,51,102,
E01001348,Ealing,E09000009,669,58,152,33,52,100,42,28,16,5,64,32,35,52,
E01001349,Ealing,E09000009,486,54,70,17,40,62,46,10,10,0,54,37,43,43,
E01001350,Ealing,E09000009,610,80,131,35,52,102,36,40,12,0,23,22,11,66,
E01001351,Ealing,E09000009,829,103,216,15,52,125,21,64,20,0,58,32,26,97,
E01001352,Ealing,E09000009,644,48,144,19,58,106,36,54,10,1,25,29,6,108,
E01001353,Ealing,E09000009,634,75,150,17,60,77,17,54,14,0,48,26,22,74,
E01001354,Ealing,E09000009,895,57,285,38,69,131,40,72,22,3,36,29,18,95,
E01001355,Ealing,E09000009,892,97,223,19,71,130,17,99,18,2,43,35,12,126,
E01001356,Ealing,E09000009,626,69,196,12,23,96,22,16,10,5,81,40,14,42,
E01001357,Ealing,E09000009,1136,43,288,18,93,174,34,157,51,6,82,64,34,92,
E01001358,Ealing,E09000009,824,38,209,4,70,146,26,88,28,2,68,46,27,72,
E01001359,Ealing,E09000009,628,32,64,28,21,151,54,3,7,2,27,45,126,68,
E01001360,Ealing,E09000009,552,31,30,21,33,88,75,7,1,0,19,41,117,89,
E01001361,Ealing,E09000009,598,31,69,14,36,131,46,7,9,0,37,40,104,74,
E01001362,Ealing,E09000009,719,28,113,12,32,151,50,14,14,3,53,37,128,84,
E01001363,Ealing,E09000009,527,31,37,18,18,151,66,3,5,3,34,26,85,50,
E01001364,Ealing,E09000009,551,77,68,15,24,85,46,6,15,2,36,52,73,52,
E01001365,Ealing,E09000009,666,40,83,25,26,110,76,7,8,0,26,31,153,81,
E01001366,Ealing,E09000009,565,38,48,18,28,144,71,0,6,5,44,38,79,46,
E01001367,Ealing,E09000009,763,34,98,15,30,204,69,12,12,2,58,43,118,68,
E01001368,Ealing,E09000009,471,26,37,18,20,86,57,1,9,1,28,35,83,70,
E01001369,Ealing,E09000009,553,33,43,16,49,117,53,3,8,3,37,33,113,45,
E01001370,Ealing,E09000009,571,24,47,24,35,106,63,1,8,3,24,36,123,77,
E01001371,Ealing,E09000009,621,31,46,24,33,151,59,6,7,5,46,46,108,59,
E01001372,Ealing,E09000009,701,28,74,23,39,196,61,6,15,0,40,32,108,79,
E01001373,Ealing,E09000009,582,28,67,14,31,143,50,11,12,2,36,44,86,58,
E01001374,Ealing,E09000009,904,75,265,27,101,140,29,85,29,6,29,25,20,73,
E01001375,Ealing,E09000009,708,69,100,50,103,170,35,58,19,1,29,14,7,53,
E01001376,Ealing,E09000009,731,78,187,19,47,113,20,76,24,3,36,39,29,60,
E01001377,Ealing,E09000009,697,100,111,59,91,142,37,44,9,1,26,21,23,33,
